Date,Name,Year,Letterboxd URI,Rating
2014-08-01,Under the Skin,2013,https://boxd.it/3mDa,2
2014-08-01,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2014-08-15,Boyhood,2014,https://boxd.it/3178,5
2014-08-15,What Dreams May Come,1998,https://boxd.it/1SoM,4
2014-08-27,The Fisher King,1991,https://boxd.it/2aWM,4
2014-08-27,Godzilla,2014,https://boxd.it/47OE,1
2014-08-27,Patch Adams,1998,https://boxd.it/1Wzk,4
2014-08-27,Neighbors,2014,https://boxd.it/5Txe,3.5
2014-09-18,Frank,2014,https://boxd.it/5hII,3
2014-09-18,Edge of Tomorrow,2014,https://boxd.it/4pD0,3
2014-09-18,A Boy and His Samurai,2010,https://boxd.it/d7S,4
2014-09-29,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,4
2014-09-29,Scanners,1981,https://boxd.it/1YqE,4
2014-09-29,A Field in England,2013,https://boxd.it/5tmk,2
2014-09-29,V/H/S: Viral,2014,https://boxd.it/80SW,0.5
2014-09-30,Raging Bull,1980,https://boxd.it/28yI,4
2014-09-30,Medium Cool,1969,https://boxd.it/WsQ,3
2014-09-30,Nebraska,2013,https://boxd.it/4exq,3
2014-10-01,Phantom of the Paradise,1974,https://boxd.it/1s34,3
2014-10-01,Awakenings,1990,https://boxd.it/1USu,2
2014-10-03,The Reef,2010,https://boxd.it/Fcc,3
2014-10-14,Funny Games,2007,https://boxd.it/207a,3
2014-10-14,Evilspeak,1981,https://boxd.it/132A,1.5
2014-10-16,Friday the 13th,1980,https://boxd.it/24fs,4
2014-10-19,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,2.5
2014-10-31,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2014-11-04,Pumpkinhead,1988,https://boxd.it/1tJq,3
2014-11-04,Alien,1979,https://boxd.it/2awY,3.5
2014-11-04,Sleepaway Camp,1983,https://boxd.it/1PSY,2.5
2014-11-25,Gates of Heaven,1978,https://boxd.it/1wBu,4
2014-11-25,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2014-11-25,Virunga,2014,https://boxd.it/7QtC,4
2014-12-31,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3
2014-12-31,The Right Stuff,1983,https://boxd.it/1YoS,4.5
2014-12-31,The Wind Rises,2013,https://boxd.it/4JQS,4.5
2014-12-31,The Evil Dead,1981,https://boxd.it/29Go,4.5
2015-01-05,Face/Off,1997,https://boxd.it/29I0,2.5
2015-01-05,Valley Girl,1983,https://boxd.it/1FNa,3
2015-01-05,Adaptation.,2002,https://boxd.it/26mA,4
2015-01-05,Bad Lieutenant: Port of Call – New Orleans,2009,https://boxd.it/1TcW,4
2015-01-07,A Town Called Panic,2009,https://boxd.it/11ki,3.5
2015-01-17,The Fly,1986,https://boxd.it/1YIe,2.5
2015-01-17,Mad Max 2,1981,https://boxd.it/1ZPg,4
2015-01-17,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,3
2015-01-17,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,3.5
2015-01-28,The Godfather,1972,https://boxd.it/2aNK,5
2015-02-01,The Guest,2014,https://boxd.it/76RS,1.5
2015-02-01,Take Shelter,2011,https://boxd.it/DQ,3
2015-02-01,Barry Lyndon,1975,https://boxd.it/25A2,4
2015-02-04,All That Jazz,1979,https://boxd.it/1JB8,4.5
2015-02-05,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2015-02-05,The Toxic Avenger,1984,https://boxd.it/1MAi,2
2015-02-05,Funny Girl,1968,https://boxd.it/1KR2,4.5
2015-02-05,Short Term 12,2013,https://boxd.it/5f6s,2
2015-02-16,Whiplash,2014,https://boxd.it/7bQA,4.5
2015-02-16,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,5
2015-02-16,Big Hero 6,2014,https://boxd.it/5rje,3
2015-02-25,Tangled,2010,https://boxd.it/15gO,2.5
2015-02-25,Flash Gordon,1980,https://boxd.it/257a,4
2015-02-25,Samsara,2011,https://boxd.it/3ada,4
2015-03-10,In the Heat of the Night,1967,https://boxd.it/1VLY,4
2015-03-12,Kiss Me Kate,1953,https://boxd.it/1d8y,4
2015-03-12,The Sting,1973,https://boxd.it/1Z5s,4
2015-03-23,The Tale of Zatoichi,1962,https://boxd.it/1JMq,4
2015-03-23,Paddington,2014,https://boxd.it/3RKw,4
2015-04-02,The Darjeeling Limited,2007,https://boxd.it/24as,4
2015-04-02,Maleficent,2014,https://boxd.it/3v1u,0.5
2015-04-15,The Birds,1963,https://boxd.it/2a6m,4
2015-04-15,Badlands,1973,https://boxd.it/25Fm,3.5
2015-05-08,Jupiter Ascending,2015,https://boxd.it/2Evm,2
2015-05-13,Bigger Than Life,1956,https://boxd.it/1uB8,4
2015-05-13,Rabbit Hole,2010,https://boxd.it/1rsM,4.5
2015-05-15,Song of the Sea,2014,https://boxd.it/3Ic6,4
2015-05-21,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,4
2015-05-21,Ex Machina,2015,https://boxd.it/7T2k,3
2015-05-21,The Last of the Mohicans,1992,https://boxd.it/1YSo,4
2015-05-26,Highlander,1986,https://boxd.it/20GE,3.5
2015-05-26,Two Night Stand,2014,https://boxd.it/8T3E,1
2015-05-26,Fargo,1996,https://boxd.it/2aHM,5
2015-05-26,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2015-05-26,The Godfather Part II,1974,https://boxd.it/2aNq,5
2015-05-29,The Thin Blue Line,1988,https://boxd.it/1OnK,5
2015-05-29,Shallow Grave,1994,https://boxd.it/1XyW,3.5
2015-05-31,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,1
2015-05-31,The Fifth Element,1997,https://boxd.it/71k,3
2015-06-04,M*A*S*H,1970,https://boxd.it/29U6,4
2015-06-06,Witness,1985,https://boxd.it/1Z4O,1.5
2015-06-12,The Castle,1997,https://boxd.it/1Pho,4.5
2015-06-15,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,1
2015-06-18,The Secret of NIMH,1982,https://boxd.it/1Tc8,4
2015-06-20,Friday,1995,https://boxd.it/1VLO,3
2015-06-26,Airplane!,1980,https://boxd.it/29yu,4
2015-06-26,Rivers and Tides,2001,https://boxd.it/1lSO,4.5
2015-06-26,The SpongeBob Movie: Sponge Out of Water,2015,https://boxd.it/6JxU,1.5
2015-07-12,The Searchers,1956,https://boxd.it/25HC,4.5
2015-07-12,Blazing Saddles,1974,https://boxd.it/1UHQ,4
2015-07-31,The Great Dictator,1940,https://boxd.it/29ic,5
2015-07-31,Sins of the Fleshapoids,1965,https://boxd.it/3A6,3
2015-07-31,La Jetée,1962,https://boxd.it/29Sk,4
2015-10-21,The Martian,2015,https://boxd.it/8SeG,4
2015-11-13,Tron,1982,https://boxd.it/2b9w,4
2015-11-13,TRON: Legacy,2010,https://boxd.it/1Dlo,3.5
2015-12-14,The Uninvited,1944,https://boxd.it/1KeO,5
2015-12-14,The Straight Story,1999,https://boxd.it/2ass,5
2015-12-14,From the Earth to the Moon,1998,https://boxd.it/1k8A,4
2015-12-14,For All Mankind,1989,https://boxd.it/1Dvy,5
2015-12-18,The End of the Tour,2015,https://boxd.it/7jIE,3
2015-12-19,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2015-12-27,The Party,1968,https://boxd.it/1VnC,5
2016-01-08,The Wicker Man,2006,https://boxd.it/1XZS,3
2016-01-08,Snake Eyes,1998,https://boxd.it/1ZX0,2.5
2016-01-08,Matchstick Men,2003,https://boxd.it/215a,2
2016-01-08,Drive Angry,2011,https://boxd.it/KZy,3.5
2016-01-12,Dogtooth,2009,https://boxd.it/158K,4
2016-01-12,Deep End,1970,https://boxd.it/i8m,4
2016-01-12,Tokyo Drifter,1966,https://boxd.it/OTY,4
2016-01-12,12 Angry Men,1957,https://boxd.it/2auI,5
2016-01-27,Bridge of Spies,2015,https://boxd.it/9n9C,3.5
2016-01-27,An American Werewolf in London,1981,https://boxd.it/29yk,3.5
2016-03-20,The Innocents,1961,https://boxd.it/1KeY,4.5
2016-03-21,Sunset Boulevard,1950,https://boxd.it/2a20,5
2016-03-22,Fantastic Voyage,1966,https://boxd.it/27iY,3.5
2016-04-19,Everybody Wants Some!!,2016,https://boxd.it/9mgM,4
2016-05-28,Zootopia,2016,https://boxd.it/84xS,2
2016-06-05,Teen Wolf,1985,https://boxd.it/1T0c,4
2016-06-06,The Manchurian Candidate,1962,https://boxd.it/299Y,5
2016-06-12,El Topo,1970,https://boxd.it/1QYS,2.5
2016-06-13,Knight of Cups,2015,https://boxd.it/34Qq,4
2016-06-13,All the President's Men,1976,https://boxd.it/29lU,5
2016-07-11,Ghostbusters,1984,https://boxd.it/g2w,5
2016-07-14,The 8 Diagram Pole Fighter,1984,https://boxd.it/1h2a,5
2016-07-21,Safety Last!,1923,https://boxd.it/1AkW,5
2016-07-21,Ghostbusters II,1989,https://boxd.it/261s,3
2016-07-21,The Tale of Zatoichi Continues,1962,https://boxd.it/1JMg,5
2016-08-17,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,5
2016-08-22,Do the Right Thing,1989,https://boxd.it/29gA,5
2016-08-26,Crimson Peak,2015,https://boxd.it/62Ty,1
2016-08-27,The Conjuring 2,2016,https://boxd.it/7GJg,4
2016-09-11,X-Men: Apocalypse,2016,https://boxd.it/7eJi,3
2016-09-11,"See No Evil, Hear No Evil",1989,https://boxd.it/1UqA,5
2016-09-22,A Touch of Zen,1970,https://boxd.it/SFm,4.5
2016-09-22,Murder on the Orient Express,1974,https://boxd.it/24IY,3.5
2016-10-02,The Infiltrator,2016,https://boxd.it/aCm4,3.5
2016-10-02,Swiss Army Man,2016,https://boxd.it/bDG2,3
2016-10-03,The Dwarves Must Be Crazy,2016,https://boxd.it/ehPW,0.5
2016-10-03,The Handmaiden,2016,https://boxd.it/948A,4
2016-10-03,The Void,2016,https://boxd.it/d93S,2
2016-10-03,The Red Turtle,2016,https://boxd.it/bdkE,4
2016-10-03,"Sweet, Sweet Lonely Girl",2016,https://boxd.it/elXU,3
2016-10-03,Toni Erdmann,2016,https://boxd.it/d0xu,5
2016-10-06,Starship Troopers,1997,https://boxd.it/2a7k,4
2016-10-06,Nosferatu,1922,https://boxd.it/29TM,4
2016-10-06,Aliens,1986,https://boxd.it/29PA,3.5
2016-10-06,The Fog,1980,https://boxd.it/29Cc,3.5
2016-10-06,From Beyond,1986,https://boxd.it/1NXi,3.5
2016-10-08,I Saw the Devil,2010,https://boxd.it/FaK,4
2016-10-09,Basket Case,1982,https://boxd.it/1qV4,4
2016-10-09,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,4.5
2016-10-18,Star Trek Beyond,2016,https://boxd.it/5Ik4,0.5
2016-10-30,Ben-Hur,1959,https://boxd.it/29RQ,5
2016-11-02,The Beyond,1981,https://boxd.it/1FtY,3
2016-11-02,Possession,1981,https://boxd.it/1BPm,3.5
2016-11-04,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,4.5
2016-12-01,A Star Is Born,1954,https://boxd.it/25I6,5
2016-12-01,North by Northwest,1959,https://boxd.it/2aRM,4.5
2016-12-05,The Bridge on the River Kwai,1957,https://boxd.it/29wo,4.5
2016-12-06,My Bodyguard,1980,https://boxd.it/2lvW,4.5
2016-12-10,Roman Holiday,1953,https://boxd.it/29zW,4.5
2017-01-02,The Revenant,2015,https://boxd.it/8H5e,4
2017-01-12,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2017-01-27,Hackers,1995,https://boxd.it/1WhU,4
2017-02-07,Joe,2013,https://boxd.it/4WCO,4
2017-02-07,Lord of War,2005,https://boxd.it/284y,4
2017-02-07,Bangkok Dangerous,2008,https://boxd.it/1QDU,3
2017-02-07,Bringing Out the Dead,1999,https://boxd.it/1ZZK,3.5
2017-02-07,Army of One,2016,https://boxd.it/b9kA,4
2017-03-19,The Girl Who Leapt Through Time,2006,https://boxd.it/1OPa,3.5
2017-04-09,The Barkley Marathons: The Race That Eats Its Young,2014,https://boxd.it/b2ck,4
2017-04-23,Tickled,2016,https://boxd.it/cWEG,3
2017-04-24,A New Leaf,1971,https://boxd.it/19FS,4
2017-05-09,Charade,1963,https://boxd.it/23O2,4
2017-05-09,La La Land,2016,https://boxd.it/a5fa,2
2017-05-09,The Towering Inferno,1974,https://boxd.it/22ly,4.5
2017-05-10,The Thin Red Line,1998,https://boxd.it/1ZTM,4
2017-05-15,Get Out,2017,https://boxd.it/eOCm,3.5
2017-06-03,Jarhead,2005,https://boxd.it/70m,3.5
2017-06-25,Victor/Victoria,1982,https://boxd.it/1RzE,4.5
2017-06-25,Don't Breathe,2016,https://boxd.it/9yzw,2
2017-06-25,The Lobster,2015,https://boxd.it/7tnw,3
2017-07-26,Ouija: Origin of Evil,2016,https://boxd.it/b5EG,3
2017-08-18,No Escape,2015,https://boxd.it/5NAw,2
2017-08-19,Sleep Tight,2011,https://boxd.it/2GjC,4
2017-08-21,Train to Busan,2016,https://boxd.it/dSQU,3.5
2017-08-24,Mean Girls,2004,https://boxd.it/1VNg,4.5
2017-08-27,The Wailing,2016,https://boxd.it/9fLy,4
2017-08-30,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,3.5
2017-08-31,Bridesmaids,2011,https://boxd.it/rac,3
2017-08-31,Best in Show,2000,https://boxd.it/1Pqq,4
2017-09-07,Ingrid Goes West,2017,https://boxd.it/evUQ,3
2017-10-07,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2017-10-08,Death Becomes Her,1992,https://boxd.it/1YQi,4
2017-10-10,Battle of the Sexes,2017,https://boxd.it/cNxw,4
2017-10-15,Happy Death Day,2017,https://boxd.it/fDz4,3
2017-10-25,Geostorm,2017,https://boxd.it/8lC6,2
2017-11-05,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2018-02-03,Passengers,2016,https://boxd.it/8lFu,3
2018-03-26,Isle of Dogs,2018,https://boxd.it/dZrW,5
2018-04-25,Black Panther,2018,https://boxd.it/8MHs,3.5
2018-04-25,Moana,2016,https://boxd.it/8tfY,4
2018-04-25,Ant-Man,2015,https://boxd.it/3vmW,4
2018-04-25,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4.5
2018-04-25,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2018-04-25,Doctor Strange,2016,https://boxd.it/8MH8,3
2018-04-27,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2018-05-01,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2018-05-02,Game Night,2018,https://boxd.it/fRtu,3
2018-05-06,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2018-05-06,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2018-05-06,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2018-06-05,Coco,2017,https://boxd.it/bYJQ,4.5
2018-06-05,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2018-06-07,Labyrinth,1986,https://boxd.it/1POC,4
2018-06-07,"Love, Simon",2018,https://boxd.it/g02s,3.5
2018-06-13,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/1ZbK,4
2018-06-13,Making Fun: The Story of Funko,2018,https://boxd.it/hPyQ,2
2018-06-13,I Walked with a Zombie,1943,https://boxd.it/1stm,4
2018-06-28,Blockers,2018,https://boxd.it/fxEW,3
2018-07-07,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,4
2018-07-07,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2018-07-07,Incredibles 2,2018,https://boxd.it/7IPg,4
2018-07-07,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2018-08-11,Life of the Party,2018,https://boxd.it/e0RG,2
2018-09-15,Hairspray,1988,https://boxd.it/1UKK,4.5
2018-09-16,Carnage,2011,https://boxd.it/2peU,4
2018-09-25,Climax,2018,https://boxd.it/ikvo,4
2018-10-14,Hurricane Bianca,2016,https://boxd.it/e3Jg,2
2018-11-26,Wonder,2017,https://boxd.it/ekeY,4
2018-11-26,Sully,2016,https://boxd.it/cD8Q,3
2018-11-26,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,3.5
2018-12-08,The 15:17 to Paris,2018,https://boxd.it/gatS,0.5
2018-12-12,Dunkirk,2017,https://boxd.it/d0Y6,4
2019-01-03,47 Meters Down,2017,https://boxd.it/eaq6,2.5
2019-01-03,Cam,2018,https://boxd.it/iWvG,3
2019-01-07,The Mummy,1999,https://boxd.it/2a7a,3
2019-01-07,The Mummy Returns,2001,https://boxd.it/28cs,3
2019-01-08,The Favourite,2018,https://boxd.it/d2hI,4.5
2019-01-20,The Sisters Brothers,2018,https://boxd.it/fDFm,4
2019-01-20,Sorry to Bother You,2018,https://boxd.it/f21E,4
2019-02-28,Alita: Battle Angel,2019,https://boxd.it/e0rS,3
2019-03-06,Greta,2018,https://boxd.it/gU4E,3
2019-03-06,Christopher Robin,2018,https://boxd.it/eSj4,3.5
2019-03-08,Beauty and the Beast,2017,https://boxd.it/ar0c,4
2019-03-08,Monsters University,2013,https://boxd.it/bQm,4
2019-03-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2019-07-16,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2019-08-07,God's Own Country,2017,https://boxd.it/faZM,4
2020-01-31,Contagion,2011,https://boxd.it/13rq,3
2021-07-23,Pig,2021,https://boxd.it/nzoW,4
2021-10-17,Squid Game,2021,https://boxd.it/x1OG,5
2021-10-23,Dune,2021,https://boxd.it/fA7G,4
2022-06-11,Fire Island,2022,https://boxd.it/vV8C,3
2022-06-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-07-03,Hustle,2022,https://boxd.it/qpig,3
2022-10-01,The Greatest Beer Run Ever,2022,https://boxd.it/m2tC,3
2022-10-01,Hocus Pocus 2,2022,https://boxd.it/nRog,3
2022-10-03,The Blair Witch Project,1999,https://boxd.it/26ua,4
2022-11-13,RRR,2022,https://boxd.it/ljDs,4
2023-02-17,Don't Worry Darling,2022,https://boxd.it/mViu,4
2023-03-07,Milk,2008,https://boxd.it/1WZC,4
2023-06-21,Erin Brockovich,2000,https://boxd.it/2al2,4
2023-07-02,Moneyball,2011,https://boxd.it/glS,4
2023-07-02,Parasite,2019,https://boxd.it/hTha,4
2023-07-02,Pink Flamingos,1972,https://boxd.it/29NO,5
2023-07-13,The Tutor,2023,https://boxd.it/BBmm,1.5
2023-08-02,The Doom Generation,1995,https://boxd.it/1PVe,4
2023-08-16,American Pain,2022,https://boxd.it/ArGu,3
2023-08-16,Glitch: The Rise & Fall of HQ Trivia,2023,https://boxd.it/F1fC,1
2023-08-16,Child's Play,1988,https://boxd.it/1VTo,4.5
2023-08-18,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,4
2023-08-18,Asteroid City,2023,https://boxd.it/s3ds,3
2023-08-20,The Beanie Bubble,2023,https://boxd.it/ySjS,3
2023-08-26,Getting Go: The Go Doc Project,2013,https://boxd.it/5gyW,4
2023-08-26,A Nightmare on Elm Street 4: The Dream Master,1988,https://boxd.it/1X0U,3
2023-08-29,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,4
2023-09-04,Notting Hill,1999,https://boxd.it/2aeK,3.5
2023-09-28,Bugged,1996,https://boxd.it/5lHO,5
2023-10-03,River,2023,https://boxd.it/H1sK,4
2023-10-03,The Uncle,2022,https://boxd.it/BwHE,4
2023-10-03,The Toxic Avenger,2023,https://boxd.it/bgbq,3
2023-10-03,Eileen,2023,https://boxd.it/oJcS,4
2023-10-03,Divinity,2023,https://boxd.it/E34u,4
2023-10-08,The Slumber Party Massacre,1982,https://boxd.it/1rIq,4
2023-10-08,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,5
2023-10-17,A Nightmare on Elm Street: The Dream Child,1989,https://boxd.it/1WWe,4
2023-10-17,The Royal Hotel,2023,https://boxd.it/zEvs,2.5
2023-10-26,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,2
2023-10-29,No Hard Feelings,2023,https://boxd.it/xouu,3
2023-11-01,Hellraiser,1987,https://boxd.it/1Zpi,4.5
2023-11-02,Dicks: The Musical,2023,https://boxd.it/zslg,2
2023-11-14,A Haunting in Venice,2023,https://boxd.it/zGdg,2.5
2023-11-20,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2023-11-20,Best. Christmas. Ever!,2023,https://boxd.it/Bjo0,1.5
2023-11-20,Paris 05:59 / Théo & Hugo,2016,https://boxd.it/dkFe,4.5
2023-11-20,Blue Beetle,2023,https://boxd.it/kJLq,3
2023-11-20,Spirited,2022,https://boxd.it/nshk,4
2023-11-23,Saltburn,2023,https://boxd.it/z4eg,2
2023-11-25,Xanadu,1980,https://boxd.it/1LMs,2
2023-11-25,Baraka,1992,https://boxd.it/1OWA,4
2023-12-04,Candy Cane Lane,2023,https://boxd.it/CGHw,3
2023-12-04,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4
2023-12-07,Misery,1990,https://boxd.it/28gY,4
2023-12-16,Barbie,2023,https://boxd.it/bCLK,3.5
2023-12-17,Wonka,2023,https://boxd.it/tCQm,3
2023-12-17,Leave the World Behind,2023,https://boxd.it/re0i,2
2023-12-23,Maestro,2023,https://boxd.it/j0DE,4
2023-12-23,May December,2023,https://boxd.it/vEE2,4
2023-12-26,Good Boys,2019,https://boxd.it/iW1G,2.5
2023-12-29,Poor Things,2023,https://boxd.it/tNWU,4
2024-01-07,All of Us Strangers,2023,https://boxd.it/Bz3C,2.5
2024-01-08,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,2.5
2024-01-10,The Flintstones,1994,https://boxd.it/29mo,4
2024-01-15,All About My Mother,1999,https://boxd.it/2b9c,4
2024-01-15,Good Grief,2023,https://boxd.it/Dd6e,3
2024-01-15,Rustin,2023,https://boxd.it/xVRG,3
2024-01-17,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2024-01-30,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-01-30,Blonde Death,1984,https://boxd.it/6v16,3
2024-02-05,The Curse,2023,https://boxd.it/IWYq,5
2024-02-17,Belle de Jour,1967,https://boxd.it/29Uq,5
2024-02-17,Hook,1991,https://boxd.it/29nQ,4
2024-02-17,Peter Pan,1953,https://boxd.it/1VCC,5
2024-02-18,Shortbus,2006,https://boxd.it/28So,4
2024-02-18,Contact,1997,https://boxd.it/29OM,4
2024-02-20,American Beauty,1999,https://boxd.it/71Y,4
2024-02-22,Upgraded,2024,https://boxd.it/ClSe,3
2024-02-25,Drive-Away Dolls,2024,https://boxd.it/A8vi,2
2024-02-25,The Holdovers,2023,https://boxd.it/vHza,5
2024-02-26,Se7en,1995,https://boxd.it/29zs,4
2024-02-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2024-02-28,Matinee,1993,https://boxd.it/1vV4,2.5
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-03-07,Strawberry Mansion,2021,https://boxd.it/tblG,3.5
